Date/Time (PST),""" - 2700' - Berne",""" - 3950' - Stevens Pass - Schmidt Haus",""" - 4790' - Stevens Pass - Grace Lakes",""" - 4800' - Stevens Pass - Brooks Precipitation"
2018-11-23 13:00,,16.39,,23.23
2018-11-23 12:00,4.358,13.23,,23.9
2018-11-23 11:00,160.5,16.85,,22.95
2018-11-23 10:00,160.5,279.5,,23.26
2018-11-23 09:00,160.5,279.5,,21.49
2018-11-23 08:00,160.5,15.47,,20.61
2018-11-23 07:00,160.5,15.47,,19.8
2018-11-23 06:00,143.9,15.01,,18.46
2018-11-23 05:00,144.8,14.15,,19.67
2018-11-23 04:00,160.5,14.09,,19.26
2018-11-23 03:00,142.1,13.29,,19.0
2018-11-23 02:00,145.4,279.5,,17.65
2018-11-23 01:00,160.5,10.59,,16.98
2018-11-23 00:00,160.5,8.35,,14.43
2018-11-22 23:00,160.5,8.15,,15.7
2018-11-22 22:00,160.5,8.15,,16.04
2018-11-22 21:00,160.5,7.62,,15.23
2018-11-22 20:00,136.6,7.95,,14.7
2018-11-22 19:00,4.423,7.29,,14.02
2018-11-22 18:00,6.909,6.83,,12.54
2018-11-22 17:00,17.38,3.998,,10.67
2018-11-22 16:00,3.507,279.5,,10.27
2018-11-22 15:00,1.871,3.401,,10.23
2018-11-22 14:00,1.479,3.467,6.511,8.62
2018-11-22 13:00,2.918,3.142,5.841,8.63
2018-11-22 12:00,12.41,1.094,5.707,8.58
2018-11-22 11:00,2.329,1.433,6.11,8.29
2018-11-22 10:00,3.572,3.204,,7.176
2018-11-22 09:00,160.5,2.095,,5.601
2018-11-22 08:00,160.5,3.335,,220.5
2018-11-22 07:00,160.5,1.49,,8.21
2018-11-22 06:00,160.5,2.808,,7.816
2018-11-22 05:00,0.235,1.228,,6.468
2018-11-22 04:00,0.955,1.163,,4.722
2018-11-22 03:00,-1.924,1.754,,6.737
2018-11-22 02:00,-0.092,1.622,,7.005
2018-11-22 01:00,1.479,1.424,,6.468
2018-11-22 00:00,2.264,1.237,,6.606
